display_name,name,description,parrent,children
ISO -> 31 -> 31.200,31.200,"Integrated circuits. MicroelectronicsIncluding electronic chips, logical and analogue microstructuresMicroprocessors, see35.160",ISO -> 31,
ISO -> 31 -> 31.220,31.220,Electromechanical components for electronic and telecommunications equipment,ISO -> 31,
ISO -> 31 -> 31.260,31.260,Optoelectronics. Laser equipmentIncluding photoelectric tubes and cells,ISO -> 31,
ISO -> 33,33,Telecommunications. Audio and video engineering,ISO,ISO -> 33 -> 33.020
,,,,ISO -> 33 -> 33.040
,,,,ISO -> 33 -> 33.050
,,,,ISO -> 33 -> 33.060
,,,,ISO -> 33 -> 33.070
,,,,ISO -> 33 -> 33.100
,,,,ISO -> 33 -> 33.120
,,,,ISO -> 33 -> 33.160
,,,,ISO -> 33 -> 33.180
ISO -> 33 -> 33.020,33.020,Telecommunications in generalIncluding infrastructure,ISO -> 33,
ISO -> 33 -> 33.040,33.040,Telecommunication systemsIncluding network (system) aspects,ISO -> 33,ISO -> 33 -> 33.040 -> 33.040.35
,,,,ISO -> 33 -> 33.040 -> 33.040.40
ISO -> 33 -> 33.040 -> 33.040.35,33.040.35,"Telephone networksIncluding Public Switched Telephone Networks (PSTN), Private Telecommunication Networks (PTN) and Private Integrated Service Networks (PISN)",ISO -> 33 -> 33.040,
ISO -> 33 -> 33.040 -> 33.040.40,33.040.40,"Data communication networksIncluding Packet Switched Public Data Networks (PSPDN) and EthernetISDN, see33.080OSI local, wide and metropolitan area networks, see35.110Modems, see35.180",ISO -> 33 -> 33.040,
ISO -> 33 -> 33.050,33.050,Telecommunication terminal equipment,ISO -> 33,ISO -> 33 -> 33.050 -> 33.050.30
ISO -> 33 -> 33.050 -> 33.050.30,33.050.30,"Equipment for telex, teletext, telefaxModems, see35.180",ISO -> 33 -> 33.050,
ISO -> 33 -> 33.060,33.060,Radiocommunications,ISO -> 33,
ISO -> 33 -> 33.070,33.070,Mobile services,ISO -> 33,
ISO -> 33 -> 33.100,33.100,Electromagnetic compatibility (EMC)Including radio interference,ISO -> 33,ISO -> 33 -> 33.100 -> 33.100.01
,,,,ISO -> 33 -> 33.100 -> 33.100.20
ISO -> 33 -> 33.100 -> 33.100.01,33.100.01,Electromagnetic compatibility in general,ISO -> 33 -> 33.100,
ISO -> 33 -> 33.100 -> 33.100.20,33.100.20,Immunity,ISO -> 33 -> 33.100,
ISO -> 33 -> 33.120,33.120,"Components and accessories for telecommunications equipmentPlug-and-socket devices, connectors, see31.220.10Switches, see31.220.20",ISO -> 33,ISO -> 33 -> 33.120 -> 33.120.30
ISO -> 33 -> 33.120 -> 33.120.30,33.120.30,RF connectors,ISO -> 33 -> 33.120,
ISO -> 33 -> 33.160,33.160,"Audio, video and audiovisual engineering",ISO -> 33,ISO -> 33 -> 33.160 -> 33.160.50
ISO -> 33 -> 33.160 -> 33.160.50,33.160.50,"AccessoriesIncluding headphones, loudspeakers, microphones, etc.",ISO -> 33 -> 33.160,
ISO -> 33 -> 33.180,33.180,Fibre optic communications,ISO -> 33,
ISO -> 35,35,Information technology,ISO,ISO -> 35 -> 35.020
,,,,ISO -> 35 -> 35.030
,,,,ISO -> 35 -> 35.040
,,,,ISO -> 35 -> 35.060
,,,,ISO -> 35 -> 35.080
,,,,ISO -> 35 -> 35.100
,,,,ISO -> 35 -> 35.110
,,,,ISO -> 35 -> 35.140
,,,,ISO -> 35 -> 35.160
,,,,ISO -> 35 -> 35.180
,,,,ISO -> 35 -> 35.200
,,,,ISO -> 35 -> 35.210
,,,,ISO -> 35 -> 35.220
,,,,ISO -> 35 -> 35.240
,,,,ISO -> 35 -> 35.260
ISO -> 35 -> 35.020,35.020,Information technology (IT) in generalIncluding general aspects of IT equipment,ISO -> 35,
ISO -> 35 -> 35.030,35.030,IT SecurityIncluding encryption,ISO -> 35,
ISO -> 35 -> 35.040,35.040,"Information codingIncluding coding of audio, picture, multimedia and hypermedia information, bar coding, etc.IT security techniques, see35.030",ISO -> 35,ISO -> 35 -> 35.040 -> 35.040.01
,,,,ISO -> 35 -> 35.040 -> 35.040.10
,,,,ISO -> 35 -> 35.040 -> 35.040.30
,,,,ISO -> 35 -> 35.040 -> 35.040.40
,,,,ISO -> 35 -> 35.040 -> 35.040.50
,,,,ISO -> 35 -> 35.040 -> 35.040.99
ISO -> 35 -> 35.040 -> 35.040.01,35.040.01,Information coding in general,ISO -> 35 -> 35.040,
ISO -> 35 -> 35.040 -> 35.040.10,35.040.10,Coding of character sets,ISO -> 35 -> 35.040,
ISO -> 35 -> 35.040 -> 35.040.30,35.040.30,Coding of graphical and photographical information,ISO -> 35 -> 35.040,
ISO -> 35 -> 35.040 -> 35.040.40,35.040.40,"Coding of audio, video, multimedia and hypermedia information",ISO -> 35 -> 35.040,
ISO -> 35 -> 35.040 -> 35.040.50,35.040.50,"Automatic identification and data capture techniquesIncluding RFID, OCR, bar coding, etc.",ISO -> 35 -> 35.040,
ISO -> 35 -> 35.040 -> 35.040.99,35.040.99,Other standards related to information coding,ISO -> 35 -> 35.040,
ISO -> 35 -> 35.060,35.060,Languages used in information technology,ISO -> 35,
ISO -> 35 -> 35.080,35.080,"SoftwareIncluding software development, documentation and useInternet applications, see35.240.95",ISO -> 35,
ISO -> 35 -> 35.100,35.100,Open systems interconnection (OSI),ISO -> 35,ISO -> 35 -> 35.100 -> 35.100.01
,,,,ISO -> 35 -> 35.100 -> 35.100.05
,,,,ISO -> 35 -> 35.100 -> 35.100.10
,,,,ISO -> 35 -> 35.100 -> 35.100.20
,,,,ISO -> 35 -> 35.100 -> 35.100.30
,,,,ISO -> 35 -> 35.100 -> 35.100.40
,,,,ISO -> 35 -> 35.100 -> 35.100.50
,,,,ISO -> 35 -> 35.100 -> 35.100.60
,,,,ISO -> 35 -> 35.100 -> 35.100.70
ISO -> 35 -> 35.100 -> 35.100.01,35.100.01,Open systems interconnection in general,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.05,35.100.05,Multilayer applicationsIncluding International Standardized Profiles,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.10,35.100.10,Physical layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.20,35.100.20,Data link layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.30,35.100.30,Network layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.40,35.100.40,Transport layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.50,35.100.50,Session layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.60,35.100.60,Presentation layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.100 -> 35.100.70,35.100.70,Application layer,ISO -> 35 -> 35.100,
ISO -> 35 -> 35.110,35.110,"NetworkingIncluding local area networks (LAN), metropolitan area networks (MAN), wide area networks (WAN), etc.Private Integrated Services Network (PISN), see33.040.35Integrated Services Digital Network (ISDN), see33.080",ISO -> 35,
ISO -> 35 -> 35.140,35.140,Computer graphics,ISO -> 35,
ISO -> 35 -> 35.160,35.160,"Microprocessor systemsIncluding PCs, calculators, etc.Integrated circuits, see31.200",ISO -> 35,
ISO -> 35 -> 35.180,35.180,IT terminal and other peripheral equipmentIncluding modems,ISO -> 35,
ISO -> 35 -> 35.200,35.200,Interface and interconnection equipment,ISO -> 35,
ISO -> 35 -> 35.210,35.210,Cloud computing,ISO -> 35,
ISO -> 35 -> 35.220,35.220,Data storage devices,ISO -> 35,ISO -> 35 -> 35.220 -> 35.220.01
,,,,ISO -> 35 -> 35.220 -> 35.220.10
,,,,ISO -> 35 -> 35.220 -> 35.220.20
,,,,ISO -> 35 -> 35.220 -> 35.220.21
,,,,ISO -> 35 -> 35.220 -> 35.220.22
,,,,ISO -> 35 -> 35.220 -> 35.220.23
,,,,ISO -> 35 -> 35.220 -> 35.220.30
ISO -> 35 -> 35.220 -> 35.220.01,35.220.01,Data storage devices in general,ISO -> 35 -> 35.220,
ISO -> 35 -> 35.220 -> 35.220.10,35.220.10,Paper cards and tapes,ISO -> 35 -> 35.220,
ISO -> 35 -> 35.220 -> 35.220.20,35.220.20,Magnetic storage devices in general,ISO -> 35 -> 35.220,
ISO -> 35 -> 35.220 -> 35.220.21,35.220.21,"Magnetic disksIncluding flexible disks, diskettes, disk packs, disk cartridges, etc.",ISO -> 35 -> 35.220,
ISO -> 35 -> 35.220 -> 35.220.22,35.220.22,Magnetic tapes,ISO -> 35 -> 35.220,
ISO -> 35 -> 35.220 -> 35.220.23,35.220.23,Cassettes and cartridges for magnetic tapes,ISO -> 35 -> 35.220,
ISO -> 35 -> 35.220 -> 35.220.30,35.220.30,Optical storage devicesIncluding CD and magneto-optical devices (MO),ISO -> 35 -> 35.220,
ISO -> 35 -> 35.240,35.240,Applications of information technology,ISO -> 35,ISO -> 35 -> 35.240 -> 35.240.01
,,,,ISO -> 35 -> 35.240 -> 35.240.10
,,,,ISO -> 35 -> 35.240 -> 35.240.15
,,,,ISO -> 35 -> 35.240 -> 35.240.20
,,,,ISO -> 35 -> 35.240 -> 35.240.30
,,,,ISO -> 35 -> 35.240 -> 35.240.40
,,,,ISO -> 35 -> 35.240 -> 35.240.50
,,,,ISO -> 35 -> 35.240 -> 35.240.60
,,,,ISO -> 35 -> 35.240 -> 35.240.63
,,,,ISO -> 35 -> 35.240 -> 35.240.67
,,,,ISO -> 35 -> 35.240 -> 35.240.68
,,,,ISO -> 35 -> 35.240 -> 35.240.70
,,,,ISO -> 35 -> 35.240 -> 35.240.80
,,,,ISO -> 35 -> 35.240 -> 35.240.90
,,,,ISO -> 35 -> 35.240 -> 35.240.95
,,,,ISO -> 35 -> 35.240 -> 35.240.99
ISO -> 35 -> 35.240 -> 35.240.01,35.240.01,Application of information technology in general,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.10,35.240.10,Computer-aided design (CAD),ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.15,35.240.15,"Identification cards. Chip cards. BiometricsIncluding application of cards for banking, trade, telecommunications, transport, etc.",ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.20,35.240.20,"IT applications in office workIncluding text processing systems, text communication, text presentation, Office Document Architecture (ODA), etc.",ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.30,35.240.30,"IT applications in information, documentation and publishingIncluding Standard Generalized Markup Language (SGML), Extensible Markup Language (XML), automatic translation machines, etc.",ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.40,35.240.40,"IT applications in bankingIncluding automatic banking facilitiesIdentification cards for banking purposes, see35.240.15",ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.50,35.240.50,IT applications in industryIncluding design automation,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.60,35.240.60,IT applications in transport,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.63,35.240.63,IT applications in tradeIncluding EDIFACT and e-commerce,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.67,35.240.67,"IT applications in building and construction industryIncluding building information modelling, Home and Building Electronic Systems (HBES)",ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.68,35.240.68,IT applications in agriculture,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.70,35.240.70,IT applications in scienceIncluding digital geographic information,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.80,35.240.80,IT applications in health care technologyIncluding computer tomography,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.90,35.240.90,IT applications in educationIncluding e-learning,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.95,35.240.95,Internet applications,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.240 -> 35.240.99,35.240.99,IT applications in other fields,ISO -> 35 -> 35.240,
ISO -> 35 -> 35.260,35.260,"Office machinesIncluding typewriters, dictation equipment, addressing machines, letter opening machines, letter folding machines, postal franking machines, their ribbons and other accessories, etc.Telephones, see33.050.10Telex and telefax, see33.050.30Copying machines, see37.100.10Wrapping and packaging equipment, see55.200Paper based stationery, see85.080Office furniture, see97.140Non-paper based stationery, see97.180",ISO -> 35,
ISO -> 37,37,Image technology,ISO,ISO -> 37 -> 37.020
,,,,ISO -> 37 -> 37.040
,,,,ISO -> 37 -> 37.060
,,,,ISO -> 37 -> 37.080
,,,,ISO -> 37 -> 37.100
ISO -> 37 -> 37.020,37.020,"Optical equipmentIncluding microscopes, telescopes, binoculars, optical materials, optical components and optical systemsOphthalmic equipment, see11.040.70Optical measuring instruments, see17.180.30Photographic equipment lenses, see37.040.10",ISO -> 37,
ISO -> 37 -> 37.040,37.040,"PhotographyPhotographic studios, see97.200.10",ISO -> 37,ISO -> 37 -> 37.040 -> 37.040.01
,,,,ISO -> 37 -> 37.040 -> 37.040.10
,,,,ISO -> 37 -> 37.040 -> 37.040.20
,,,,ISO -> 37 -> 37.040 -> 37.040.25
,,,,ISO -> 37 -> 37.040 -> 37.040.30
,,,,ISO -> 37 -> 37.040 -> 37.040.99
ISO -> 37 -> 37.040 -> 37.040.01,37.040.01,Photography in general,ISO -> 37 -> 37.040,
ISO -> 37 -> 37.040 -> 37.040.10,37.040.10,Photographic equipment. Projectors,ISO -> 37 -> 37.040,
ISO -> 37 -> 37.040 -> 37.040.20,37.040.20,"Photographic paper, films and plates. Cartridges",ISO -> 37 -> 37.040,
ISO -> 37 -> 37.040 -> 37.040.25,37.040.25,"Radiographic filmsIncluding dental, medical and industrial radiographic films",ISO -> 37 -> 37.040,
ISO -> 37 -> 37.040 -> 37.040.30,37.040.30,Photographic chemicals,ISO -> 37 -> 37.040,
ISO -> 37 -> 37.040 -> 37.040.99,37.040.99,Other standards related to photography,ISO -> 37 -> 37.040,
ISO -> 37 -> 37.060,37.060,"CinematographyCinematographic studios, see97.200.10",ISO -> 37,ISO -> 37 -> 37.060 -> 37.060.01
,,,,ISO -> 37 -> 37.060 -> 37.060.10
,,,,ISO -> 37 -> 37.060 -> 37.060.20
,,,,ISO -> 37 -> 37.060 -> 37.060.99
ISO -> 37 -> 37.060 -> 37.060.01,37.060.01,Cinematography in general,ISO -> 37 -> 37.060,
ISO -> 37 -> 37.060 -> 37.060.10,37.060.10,Motion picture equipment,ISO -> 37 -> 37.060,
ISO -> 37 -> 37.060 -> 37.060.20,37.060.20,Motion picture films. Cartridges,ISO -> 37 -> 37.060,
ISO -> 37 -> 37.060 -> 37.060.99,37.060.99,Other standards related to cinematography,ISO -> 37 -> 37.060,
ISO -> 37 -> 37.080,37.080,"Document imaging applicationsIncluding micrographic, electronic and optical applicationsOptical storage devices, see35.220.30",ISO -> 37,
ISO -> 37 -> 37.100,37.100,Graphic technology,ISO -> 37,ISO -> 37 -> 37.100 -> 37.100.01
,,,,ISO -> 37 -> 37.100 -> 37.100.10
,,,,ISO -> 37 -> 37.100 -> 37.100.20
,,,,ISO -> 37 -> 37.100 -> 37.100.99
ISO -> 37 -> 37.100 -> 37.100.01,37.100.01,Graphic technology in generalIncluding proof corrections,ISO -> 37 -> 37.100,
ISO -> 37 -> 37.100 -> 37.100.10,37.100.10,"Reproduction equipmentIncluding printing, copying and duplicating machines, bookbinding equipment, etc.",ISO -> 37 -> 37.100,
ISO -> 37 -> 37.100 -> 37.100.20,37.100.20,"Materials for graphic technologyInks, see87.080",ISO -> 37 -> 37.100,
ISO -> 37 -> 37.100 -> 37.100.99,37.100.99,Other standards related to graphic technology,ISO -> 37 -> 37.100,
ISO -> 39,39,Precision mechanics. Jewellery,ISO,ISO -> 39 -> 39.040
,,,,ISO -> 39 -> 39.060
ISO -> 39 -> 39.040,39.040,Horology,ISO -> 39,ISO -> 39 -> 39.040 -> 39.040.01
,,,,ISO -> 39 -> 39.040 -> 39.040.10
,,,,ISO -> 39 -> 39.040 -> 39.040.20
,,,,ISO -> 39 -> 39.040 -> 39.040.99
ISO -> 39 -> 39.040 -> 39.040.01,39.040.01,Horology in general,ISO -> 39 -> 39.040,
ISO -> 39 -> 39.040 -> 39.040.10,39.040.10,Watches,ISO -> 39 -> 39.040,
ISO -> 39 -> 39.040 -> 39.040.20,39.040.20,Clocks,ISO -> 39 -> 39.040,
ISO -> 39 -> 39.040 -> 39.040.99,39.040.99,Other time-measuring instruments,ISO -> 39 -> 39.040,
ISO -> 39 -> 39.060,39.060,"JewelleryIncluding precious metals, precious and semi-precious stonesIndustrial diamonds, see25.100",ISO -> 39,
ISO -> 43,43,Road vehicles engineering,ISO,ISO -> 43 -> 43.020
,,,,ISO -> 43 -> 43.040
,,,,ISO -> 43 -> 43.060
,,,,ISO -> 43 -> 43.080
,,,,ISO -> 43 -> 43.100
,,,,ISO -> 43 -> 43.120
,,,,ISO -> 43 -> 43.140
,,,,ISO -> 43 -> 43.150
,,,,ISO -> 43 -> 43.160
,,,,ISO -> 43 -> 43.180
ISO -> 43 -> 43.020,43.020,"Road vehicles in generalIncluding testing and recycling of road vehiclesRoad transport, see03.220.20Transport exhaust emissions, see13.040.50",ISO -> 43,
ISO -> 43 -> 43.040,43.040,"Road vehicle systemsElectric road vehicle systems, see43.120Motorcycle and moped systems, see43.140Cycle systems, see43.150",ISO -> 43,ISO -> 43 -> 43.040 -> 43.040.01
,,,,ISO -> 43 -> 43.040 -> 43.040.10
,,,,ISO -> 43 -> 43.040 -> 43.040.15
,,,,ISO -> 43 -> 43.040 -> 43.040.20
,,,,ISO -> 43 -> 43.040 -> 43.040.30
,,,,ISO -> 43 -> 43.040 -> 43.040.40
,,,,ISO -> 43 -> 43.040 -> 43.040.50
,,,,ISO -> 43 -> 43.040 -> 43.040.60
,,,,ISO -> 43 -> 43.040 -> 43.040.65
,,,,ISO -> 43 -> 43.040 -> 43.040.70
,,,,ISO -> 43 -> 43.040 -> 43.040.80
,,,,ISO -> 43 -> 43.040 -> 43.040.99
ISO -> 43 -> 43.040 -> 43.040.01,43.040.01,Road vehicle systems in general,ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.10,43.040.10,Electrical and electronic equipment,ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.15,43.040.15,"Car informatics. On board computer systemsIncluding navigation systems, car radio, etc.",ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.20,43.040.20,"Lighting, signalling and warning devices",ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.30,43.040.30,Indicating and control devices,ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.40,43.040.40,Braking systems,ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.50,43.040.50,"Transmissions, suspensionsIncluding clutches, gearboxes, power-steering systems, cardan shafts, differentials, wheels, rims, etc.Tyres for road vehicles, see83.160.10",ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.60,43.040.60,"Bodies and body componentsIncluding vehicle frame and structure, heating devices, air-conditioning systems for passenger/driver compartments, roof load carriers, etc.Loading compartments, see43.080.10",ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.65,43.040.65,"Glazing and wiper systemsIncluding cleaning, defrosting and demisting devices, mirrors, etc.",ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.70,43.040.70,CouplingsIncluding towing attachments and fifth wheel assemblies,ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.80,43.040.80,"Crash protection and restraint systemsIncluding airbags, safety belts, traffic accident issues and safety enhancement matters",ISO -> 43 -> 43.040,
ISO -> 43 -> 43.040 -> 43.040.99,43.040.99,Other road vehicle systems,ISO -> 43 -> 43.040,
ISO -> 43 -> 43.060,43.060,"Internal combustion engines for road vehiclesStandards for internal combustion engines for general use, see27.020",ISO -> 43,ISO -> 43 -> 43.060 -> 43.060.01
,,,,ISO -> 43 -> 43.060 -> 43.060.10
,,,,ISO -> 43 -> 43.060 -> 43.060.20
,,,,ISO -> 43 -> 43.060 -> 43.060.30
,,,,ISO -> 43 -> 43.060 -> 43.060.40
,,,,ISO -> 43 -> 43.060 -> 43.060.50
ISO -> 43 -> 43.060 -> 43.060.01,43.060.01,Internal combustion engines for road vehicles in general,ISO -> 43 -> 43.060,
ISO -> 43 -> 43.060 -> 43.060.10,43.060.10,Engine block and internal components,ISO -> 43 -> 43.060,
ISO -> 43 -> 43.060 -> 43.060.20,43.060.20,Pressure charging and air/exhaust gas ducting systems,ISO -> 43 -> 43.060,
ISO -> 43 -> 43.060 -> 43.060.30,43.060.30,"Cooling systems. Lubricating systemsAntifreezes, see71.100.45Lubricants, see75.100",ISO -> 43 -> 43.060,
ISO -> 43 -> 43.060 -> 43.060.40,43.060.40,Fuel systems,ISO -> 43 -> 43.060,
ISO -> 43 -> 43.060 -> 43.060.50,43.060.50,Electrical and electronic equipment. Control systemsIncluding ignition systems and starter motors,ISO -> 43 -> 43.060,
ISO -> 43 -> 43.080,43.080,"Commercial vehiclesRoad vehicle systems, see43.040Tyres for road vehicles, see83.160.10",ISO -> 43,ISO -> 43 -> 43.080 -> 43.080.01
,,,,ISO -> 43 -> 43.080 -> 43.080.20
ISO -> 43 -> 43.080 -> 43.080.01,43.080.01,Commercial vehicles in general,ISO -> 43 -> 43.080,
ISO -> 43 -> 43.080 -> 43.080.20,43.080.20,Buses,ISO -> 43 -> 43.080,
ISO -> 43 -> 43.100,43.100,"Passenger cars. Caravans and light trailersRoad vehicle systems, see43.040Tyres for road vehicles, see83.160.10Camping equipment, see97.200.30",ISO -> 43,
ISO -> 43 -> 43.120,43.120,"Electric road vehiclesIncluding their components and systemsTyres for road vehicles, see83.160.10",ISO -> 43,
ISO -> 43 -> 43.140,43.140,"Motorcycles and mopedsIncluding their components and systemsTyres for road vehicles, see83.160.10",ISO -> 43,
ISO -> 43 -> 43.150,43.150,"CyclesIncluding their components and systemsTyres for road vehicles, see83.160.10",ISO -> 43,
ISO -> 43 -> 43.160,43.160,"Special purpose vehiclesIncluding waste collection vehicles and components and systems for special purpose vehiclesFire-fighting vehicles, see13.220.10Mobile cranes, see53.020.20Earth-moving machinery, see53.100Agricultural tractors and trailed vehicles, see65.060.10",ISO -> 43,
ISO -> 43 -> 43.180,43.180,"Diagnostic, maintenance and test equipmentIncluding repairing facilitiesPetrol stations, see75.200",ISO -> 43,
ISO -> 45,45,Railway engineering,ISO,ISO -> 45 -> 45.020
,,,,ISO -> 45 -> 45.060
,,,,ISO -> 45 -> 45.080
,,,,ISO -> 45 -> 45.120
ISO -> 45 -> 45.020,45.020,"Railway engineering in generalRailway traffic, see03.220.30Construction of railways, see93.100",ISO -> 45,
ISO -> 45 -> 45.060,45.060,"Railway rolling stockIncluding materials, components, electric and electronic equipment for railway rolling stock",ISO -> 45,ISO -> 45 -> 45.060 -> 45.060.01
ISO -> 45 -> 45.060 -> 45.060.01,45.060.01,Railway rolling stock in general,ISO -> 45 -> 45.060,
ISO -> 45 -> 45.080,45.080,Rails and railway componentsIncluding track components,ISO -> 45,
ISO -> 45 -> 45.120,45.120,Equipment for railway/cableway construction and maintenance,ISO -> 45,
ISO -> 47,47,Shipbuilding and marine structures,ISO,ISO -> 47 -> 47.020
,,,,ISO -> 47 -> 47.040
,,,,ISO -> 47 -> 47.060
,,,,ISO -> 47 -> 47.080
ISO -> 47 -> 47.020,47.020,"Shipbuilding and marine structures in generalIncluding offshore structures, except offshore structures for petroleum and natural gas industries, and seabed miningWater transport, see03.220.40Offshore structures for seabed mining, see73.100.30Offshore structures for petroleum and natural gas industries, see75.180.10",ISO -> 47,ISO -> 47 -> 47.020 -> 47.020.01
,,,,ISO -> 47 -> 47.020 -> 47.020.05
,,,,ISO -> 47 -> 47.020 -> 47.020.10
,,,,ISO -> 47 -> 47.020 -> 47.020.20
,,,,ISO -> 47 -> 47.020 -> 47.020.30
,,,,ISO -> 47 -> 47.020 -> 47.020.40
,,,,ISO -> 47 -> 47.020 -> 47.020.50
,,,,ISO -> 47 -> 47.020 -> 47.020.60
,,,,ISO -> 47 -> 47.020 -> 47.020.70
,,,,ISO -> 47 -> 47.020 -> 47.020.80
,,,,ISO -> 47 -> 47.020 -> 47.020.85
,,,,ISO -> 47 -> 47.020 -> 47.020.90
,,,,ISO -> 47 -> 47.020 -> 47.020.99
ISO -> 47 -> 47.020 -> 47.020.01,47.020.01,General standards related to shipbuilding and marine structures,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.05,47.020.05,Materials and components for shipbuilding,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.10,47.020.10,Hulls and their structure elements,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.20,47.020.20,"Marine engines and propulsion systemsStandards for internal combustion engines for general use, see27.020",ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.30,47.020.30,Piping systems,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.40,47.020.40,Lifting and cargo handling equipment,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.50,47.020.50,Deck equipment and installations,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.60,47.020.60,Electrical equipment of ships and of marine structures,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.70,47.020.70,"Navigation and control equipmentRadiocommunications equipment, see33.060",ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.80,47.020.80,Accommodation spaces,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.85,47.020.85,Cargo spacesIncluding tanks and tankers,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.90,47.020.90,"Marine ventilation, air conditioning and heating systems",ISO -> 47 -> 47.020,
ISO -> 47 -> 47.020 -> 47.020.99,47.020.99,Other standards related to shipbuilding and marine structures,ISO -> 47 -> 47.020,
ISO -> 47 -> 47.040,47.040,Seagoing vesselsIncluding their systems and components,ISO -> 47,
ISO -> 47 -> 47.060,47.060,Inland navigation vesselsIncluding their systems and components,ISO -> 47,
ISO -> 47 -> 47.080,47.080,"Small craftIncluding small craft systems and components, and life-saving appliancesPersonal flotation devices (life jackets), see13.340.70",ISO -> 47,
ISO -> 49,49,Aircraft and space vehicle engineering,ISO,ISO -> 49 -> 49.020
,,,,ISO -> 49 -> 49.025
,,,,ISO -> 49 -> 49.030
,,,,ISO -> 49 -> 49.035
,,,,ISO -> 49 -> 49.040
,,,,ISO -> 49 -> 49.045
,,,,ISO -> 49 -> 49.050
,,,,ISO -> 49 -> 49.060
,,,,ISO -> 49 -> 49.080
,,,,ISO -> 49 -> 49.090
,,,,ISO -> 49 -> 49.095
,,,,ISO -> 49 -> 49.100
,,,,ISO -> 49 -> 49.120
,,,,ISO -> 49 -> 49.140
ISO -> 49 -> 49.020,49.020,"Aircraft and space vehicles in generalIncluding aircraft performance, flight dynamics, etc.Air transport, see03.220.50",ISO -> 49,
ISO -> 49 -> 49.025,49.025,Materials for aerospace construction,ISO -> 49,ISO -> 49 -> 49.025 -> 49.025.01
,,,,ISO -> 49 -> 49.025 -> 49.025.20
ISO -> 49 -> 49.025 -> 49.025.01,49.025.01,Materials for aerospace construction in general,ISO -> 49 -> 49.025,
ISO -> 49 -> 49.025 -> 49.025.20,49.025.20,Aluminium,ISO -> 49 -> 49.025,
ISO -> 49 -> 49.030,49.030,"Fasteners for aerospace constructionFasteners for general use, see21.060",ISO -> 49,ISO -> 49 -> 49.030 -> 49.030.01
,,,,ISO -> 49 -> 49.030 -> 49.030.10
,,,,ISO -> 49 -> 49.030 -> 49.030.20
,,,,ISO -> 49 -> 49.030 -> 49.030.30
